id,host_id,listing_url,name,picture_url,description,instant_bookable,price,property_type,room_type,accommodates,beds,bedrooms,bathrooms,bathrooms_text,latitude,longitude,neighbourhood_cleansed,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_wifi,has_tv,has_washer,has_heating_system,has_kitchen
15420,60423,https://www.airbnb.com/rooms/15420,Georgian Boutique Apt City Centre,https://a0.muscache.com/pictures/cf69631f-4194-4020-ae63-9d745a90ec74.jpg,"Stunning, spacious ground floor apartment minutes from Princes Street.  Your own ‘home from home’ in an historic property, we strive to offer you the highest standards of comfort and attention to detail.<br /><br />The apartment is completely self-contained with no shared facilities.  It  has its own front door onto the street so there is no shared lobby or stair.",False,155.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.95759,-3.18805,"Old Town, Princes Street and Leith Street",647,4.98,4.99,4.97,4.98,4.99,4.98,4.92,True,True,True,True,True
24288,46498,https://www.airbnb.com/rooms/24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",https://a0.muscache.com/pictures/3460007/887314c6_original.jpg,"Upper level of duplex. Boho rustic-chic former warehouse Loft located in lively University quarter of City centre for exploring historic Old Town and at heart of Fringe, Jazz and International Festival venues. Great location for exploring, eating out and good pubs all year round (NB owner’s suite on lower level).",False,98.0,Entire loft,Entire home/apt,4,2.0,2.0,1.5,1.5 baths,55.94498320836646,-3.185293348616568,"Canongate, Southside and Dumbiedykes",397,4.64,4.81,4.39,4.89,4.92,4.85,4.67,True,True,True,True,True
38628,165635,https://www.airbnb.com/rooms/38628,Edinburgh Holiday Let,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzg2Mjg%3D/original/b96fa1b8-0f81-4636-95f5-6a981fe1ce1c.jpeg,Self contained studio 6 minutes by train to Edinburgh's city centre .Located between the city and the vibrant seaside suburb of  Portobello . The Brunstane Studio is the perfect place. <br />King sized bed with topper. Free Wi-Fi (7EN74N49) and parking.,False,117.0,Entire rental unit,Entire home/apt,2,2.0,1.0,1.5,1.5 baths,55.94215,-3.0964,Joppa,75,4.68,4.77,4.65,4.83,4.77,4.72,4.75,True,True,True,True,True
44552,195950,https://www.airbnb.com/rooms/44552,Double room - spacious Leith flat,https://a0.muscache.com/pictures/airflow/Hosting-44552/original/1bd34f0c-fdb6-4050-88f8-93407e4a9727.jpg,,False,75.0,Private room in condo,Private room,2,1.0,1.0,1.0,1 shared bath,55.96612,-3.17184,South Leith,318,4.77,4.82,4.75,4.92,4.88,4.71,4.77,True,True,True,True,True
54188,253850,https://www.airbnb.com/rooms/54188,The Four Sisters Boatel,https://a0.muscache.com/pictures/868604d2-7951-4530-95b7-f84eaf29d8e3.jpg,"A first for Scotland, The Four Sisters Boatel is a luxury, four star, self catering, canal barge, accommodation located in the very heart of Edinburgh city centre and has been awarded 4 stars by the Scottish Tourist Board.",True,378.0,Boat,Entire home/apt,6,2.0,3.0,1.5,1.5 baths,55.94217,-3.20863,Dalry and Fountainbridge,36,4.61,4.53,4.67,4.61,4.66,4.79,4.36,True,True,True,True,True
55881,264345,https://www.airbnb.com/rooms/55881,Lovely central apartment sleeps 5,https://a0.muscache.com/pictures/84332374/f268e8a8_original.jpg,Lovely characterful Victorian tenement apartment  belonging to an artist and a musician.,False,209.0,Entire rental unit,Entire home/apt,5,4.0,3.0,1.0,1 bath,55.95935,-3.17713,Hillside and Calton Hill,331,4.83,4.87,4.88,4.94,4.95,4.88,4.75,True,True,True,True,True
58682,281109,https://www.airbnb.com/rooms/58682,Beautiful Apartment in Edinburgh,https://a0.muscache.com/pictures/15f09c83-6ad6-4350-8938-c9f4f25dded0.jpg,"The apartment is situated in Stockbridge, an area with a wealth of shops bars and restaurants. There are excellent bus routes to the city centre but the apartment is close enough to walk to all the major sites. The accommodation is spacious and suitable for large family groups who wish to stay in a home rather than an hotel. For guests arriving during the football and rugby seasons the TV offers Sky sports channels, for guests that love 2nd hand shops, look no further than Stockbridge's array.",False,277.0,Entire rental unit,Entire home/apt,8,7.0,4.0,2.0,2 baths,55.95508,-3.21625,Comely Bank,201,4.94,4.97,4.91,4.99,4.97,4.96,4.95,True,True,True,True,True
97472,486859,https://www.airbnb.com/rooms/97472,"PERFECT LOCATION,FREE PARKING,WIFI",https://a0.muscache.com/pictures/1560d936-3da5-4dd0-a8a0-c30119092b3e.jpg,,False,75.0,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.93,-3.20995,Morningside,36,4.5,4.36,4.64,4.89,4.83,4.75,4.56,True,True,True,True,True
112625,574430,https://www.airbnb.com/rooms/112625,"Epicurean Clerk - Huge, Central",https://a0.muscache.com/pictures/miso/Hosting-112625/original/6d8878ee-7921-4ac7-9407-23346b4156c9.jpeg,"Even Edinburgh locals are surprised by the size and preserved state of Epicurean Clerk, a traditional flat in the center of Edinburgh. It's just a 15 minute walk to the Royal Mile and a 20 minute walk to the castle. The flat has all the original features with a modern twist and is unusually spacious for an Edinburgh flat.",False,1530.0,Entire rental unit,Entire home/apt,9,5.0,4.0,1.5,1.5 baths,55.93865,-3.1794,Meadows and Southside,204,4.84,4.84,4.82,4.78,4.85,4.78,4.72,True,True,True,True,True
118314,597415,https://www.airbnb.com/rooms/118314,Vibrant Cottage Style Flat Near Leith Links Park,https://a0.muscache.com/pictures/ead06a36-40c2-4b6e-8dd9-c6f2317cdcc2.jpg,"Colourful, cozy flat with leafy outlook, central but quiet opposite Leith Links park and a 10 min walk to The Shore with its many great restaurants bars and shops. There is free parking in front of the house. 3 bus stops are just 1 min walk from the flat with buses going to the centre and other points of interest such as the Botanics or Portobello beach every few minutes. It's easy exploring Edinburgh from here!",False,197.0,Entire rental unit,Entire home/apt,3,3.0,2.0,1.0,1 bath,55.96814,-3.16032,Leith (Hermitage and Prospect Bank),268,4.85,4.85,4.84,4.91,4.91,4.67,4.71,True,True,True,True,True
122930,615381,https://www.airbnb.com/rooms/122930,"Relaxing Top-Floor Flat –Views, Comfort & Location",https://a0.muscache.com/pictures/462ab5ba-18d1-40fe-9c2b-9968ddd25710.jpg,"Hi! I'm one of Edinburgh's most experienced and highly rated Airbnb hosts.  Come and stay in my cosy private apartment, <br /><br />Licensed and safety checked by Edinburgh Council.",False,118.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.95851,-3.17078,Meadowbank and Abbeyhill North,954,4.9,4.93,4.94,4.94,4.95,4.76,4.85,True,True,True,True,True
142356,691610,https://www.airbnb.com/rooms/142356,NewTown Heart of the Burgh - Studio,https://a0.muscache.com/pictures/456f3b2d-f35f-461d-80f3-2300b39ac17a.jpg,"Our cosy wee flat is tucked away in the heart of Edinburgh’s New Town. Here, you’re ideally placed to explore worlds old and new right from the doorstep or retreat from the bustle when you need it.",False,83.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.95743,-3.20036,New Town West,58,4.57,4.53,4.51,4.98,4.93,4.79,4.39,True,False,True,True,True
163870,129153119,https://www.airbnb.com/rooms/163870,Stunning 2 bedroom flat @ the Shore,https://a0.muscache.com/pictures/89433813/144addb6_original.jpg,"This stylish 2 bedroom apartment in a converted seed mill makes a perfect base for vacations or business trips to Edinburgh. Situated in the historic port area of Leith, a charming neighbourhood with excellent amenities and city centre links.",False,122.0,Entire rental unit,Entire home/apt,4,3.0,2.0,1.0,1 bath,55.97613,-3.16979,The Shore and Constitution Street,420,4.95,4.96,4.96,4.94,4.96,4.92,4.91,True,True,True,True,True
177944,851172,https://www.airbnb.com/rooms/177944,Nice Central Double room including basic breakfast,https://a0.muscache.com/pictures/miso/Hosting-177944/original/2622950e-98dc-415c-a6f3-8a67154840ce.jpeg,"This is a spacious, comfortable double bedroom. It's a cosy room, a warm and pleasant space with touches of luxury. A lovely central location from which to enjoy Edinburgh.",False,69.0,Private room in condo,Private room,2,1.0,1.0,1.0,1 shared bath,55.961548,-3.171129,Leith (Albert Street),42,4.69,4.48,4.33,4.75,4.8,4.6,4.23,True,False,True,True,True
180429,851172,https://www.airbnb.com/rooms/180429,Bright Central Double room,https://a0.muscache.com/pictures/30541364/2a45df61_original.jpg,"This is a bright, beautiful double bedroom with an exceptionally comfortable kingsize bed.  It's a spacious yet cosy top floor corner room with views across the city to the Firth of Forth and the hills of Fife.  A warm and pleasant space with touches of luxury.  A lovely central location from which to enjoy Edinburgh.",False,194.0,Private room in condo,Private room,2,1.0,1.0,1.0,1 shared bath,55.961548,-3.171129,Leith (Albert Street),76,4.49,4.51,4.3,4.74,4.86,4.45,4.12,True,False,True,True,True
229494,1198626,https://www.airbnb.com/rooms/229494,Large Room in Quirky Wee Apartment - Arthur's Seat,https://a0.muscache.com/pictures/9168298/75167407_original.jpg,"Your Room is both Large and Cosy. With Two Sofas and a TV,  you effectively have your own Private Sitting Room. *Netflix and Disney+<br /><br />10 mins walk to the base of Arthur's Seat - 15 mins to the Royal Mile.<br /><br />*I will need your Arrival Time to Confirm your Booking*  so please provide this on or before booking.  *No Late Check-in <br /><br />Please Note: this is an old and personalised apartment. If you prefer modern minimalism it probably isn't for you.<br /><br />Please Read the Full Listing before Booking, Thank you.",False,78.0,Private room in condo,Private room,3,2.0,1.0,1.0,1 shared bath,55.94232,-3.17771,Newington and Dalkeith Road,698,4.85,4.85,4.75,4.89,4.92,4.86,4.81,True,True,False,True,False
233839,992589,https://www.airbnb.com/rooms/233839,Double bedroom in central Edinburgh,https://a0.muscache.com/pictures/3a5fe8ce-0360-4dbd-89d3-876d157511ec.jpg,Double bedroom in central Edinburgh,False,29.0,Private room in home,Private room,2,2.0,1.0,1.0,1 bath,55.96401,-3.24772,Drylaw,472,4.77,4.82,4.94,4.81,4.81,4.61,4.81,True,True,True,True,True
256783,273097,https://www.airbnb.com/rooms/256783,Double Room in Central Edinburgh. Private Shower,https://a0.muscache.com/pictures/airflow/Hosting-256783/original/4d07566d-4874-4afe-b024-89cc2385f698.jpg,"Newington is a favoured residential district of Edinburgh, lying around two miles south of the City Centre. It offers a wide selection of amenities, including essential and specialist shops There is also a good choice of bars,. The property is close to the University of Edinburgh.,The royal Holyrood Park and Arthur’s Seat. Regular bus services run from Newington to Centre. The Queens Hall and Festival theatre are close by.",False,106.0,Private room in rental unit,Private room,2,1.0,1.0,1.0,1 private bath,55.93966,-3.1769,Newington and Dalkeith Road,434,4.83,4.87,4.89,4.94,4.94,4.83,4.79,True,False,False,True,False
307715,1583173,https://www.airbnb.com/rooms/307715,Beside The Castle with great views,https://a0.muscache.com/pictures/3542238/27752806_original.jpg,"Please note that any smoking, vaping , candles or charging of vape batteries is not allowed inside the premises for safety reasons.",False,468.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.94877,-3.19564,"Old Town, Princes Street and Leith Street",214,4.76,4.89,4.73,4.83,4.86,4.95,4.76,True,True,True,True,True
327161,1672688,https://www.airbnb.com/rooms/327161,Drummond apt in the heart of Edinburgh's Old Town!,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzI3MTYx/original/df306f62-d3d2-4e83-82f6-6c7b88b94190.jpeg,"2 bedrm,2 bathrm sittingroom,kitchen<br />Drummond apt. boasts a good kitchen handy for longer stays however step outside and there are coffee shops galore and restaurants close by so short break stays won't need to cook! <br />The sitting room is part of the kitchen  with a reclining sofa for 3 people and two armchairs. <br />Twin room and bathroom, sitting room/ kitchen lower level and internal stairs lead to King size bed on mezzanine floor and through this room is  an office /sitting room and shower room.",True,327.0,Entire condo,Entire home/apt,4,3.0,2.0,2.0,2 baths,55.94771,-3.18458,"Old Town, Princes Street and Leith Street",100,4.55,4.5,4.67,4.7,4.73,4.83,4.45,True,True,True,True,True
340452,1727489,https://www.airbnb.com/rooms/340452,"Bright, quiet & central - 1 block from tram stop",https://a0.muscache.com/pictures/miso/Hosting-340452/original/7ef8c765-17c2-4a4e-972f-e710fb1bd269.jpeg,"Quirky, quiet flat close to Princes Street with plenty <br />  bars, cafes,  shops, restaurants nearby<br /><br />Enjoy 4m high ceilings and big windows<br /><br />Tea, coffee, muesli and porridge always available<br /><br />Tram stop McDonald Road <br /><br />5 mins walk to Calton Hill for beautiful views over the city<br />10 mins walk to Princes Street/ Waverley Train Station<br />15 mins walk to Old Town<br /><br />This is a fully furnished home, not a holiday flat, and yours for the duration of your stay!",False,216.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.95956,-3.18015,Hillside and Calton Hill,901,4.95,4.94,4.95,4.95,4.96,4.93,4.88,True,True,True,True,True
355938,1801836,https://www.airbnb.com/rooms/355938,Parliament Square - Royal Mile,https://a0.muscache.com/pictures/13834104/c848b1c3_original.jpg,Beautiful very well located apartment on the Royal Mile. 2 large bedrooms and spacious lounge to sit and watch the world go by.,True,274.0,Entire condo,Entire home/apt,5,3.0,2.0,1.0,1 bath,55.94929,-3.18991,"Old Town, Princes Street and Leith Street",210,4.85,4.93,4.85,4.78,4.94,4.99,4.8,True,True,True,True,True
361050,1825119,https://www.airbnb.com/rooms/361050,Large room in disabled friendly flat - Bruntsfield,https://a0.muscache.com/pictures/airflow/Hosting-361050/original/c72c04b2-d65b-4144-bd4a-a8a357ca279a.jpg,In fantastic Bruntsfield with its individual shops and green spaces.  Room is large and airy and inhabitants - humans and dogs - love to meet new people .  We have a son in a wheelchair so the flat is very accessible. Ask if we can give you any more info!  Hope to see you soon.,False,72.0,Private room in condo,Private room,2,1.0,1.0,2.0,2 shared baths,55.93995,-3.20736,Bruntsfield,122,4.96,4.97,4.88,5.0,4.98,4.93,4.93,True,False,True,True,True
388297,1942840,https://www.airbnb.com/rooms/388297,Home from home by Holyrood Park -parking & garden!,https://a0.muscache.com/pictures/5474ec24-dcb8-4c97-8acd-605a680b3bee.jpg,"On the doorstep of Arthur's Seat and Holyrood Palace gates, yet in the heart of the city, this beautiful home is the perfect base to explore the hustle and bustle or just relax. With great transport links, free parking and a scenic walk to the Royal Mile, it's perfect for whatever you have planned!",False,227.0,Entire villa,Entire home/apt,4,3.0,2.0,2.0,2 baths,55.95271,-3.14898,Willowbrae and Duddingston Village,122,4.75,4.81,4.84,4.94,4.91,4.68,4.71,True,True,True,True,True
389318,1947854,https://www.airbnb.com/rooms/389318,"City centre. Walk to Castle, Museum etc. Own bath.",https://a0.muscache.com/pictures/miso/Hosting-389318/original/309ef07f-9966-4429-85a2-99d5b7fded66.jpeg,"The Space<br />Situated in a quiet Mews courtyard, this is a small sunny room on the ground floor of my house.  It has a small double bed UK size 4ft across. There is hanging and cupboard space. Own bathroom on 1st floor. Varied breakfast is provided, cheese, eggs, bread, yoghurt, cereal etc.",False,172.0,Private room in townhouse,Private room,2,1.0,1.0,1.0,1 private bath,55.94313,-3.1808,Meadows and Southside,516,4.88,4.87,4.93,4.96,4.97,4.89,4.84,True,False,False,True,False
391558,1958301,https://www.airbnb.com/rooms/391558,"City centre, lovely reviews, near tram & train.",https://a0.muscache.com/pictures/24285784/6b4b8abd_original.jpg,"Warm, cosy and comfortable, our main door home is the perfect city centre base located in the New Town of Edinburgh, a world Heritage Site.<br /><br />The flat is accessed via the original, fifteen external stone steps from the pavement via a secure and lockable cast iron gate.<br /><br />Our flat was the original kitchen in the house and we have exposed the original fireplaces, originally used for cooking and laundry.",False,158.0,Entire condo,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.95758,-3.18844,"Old Town, Princes Street and Leith Street",133,4.97,4.97,4.99,4.98,4.97,5.0,4.89,True,True,True,True,True
405790,1947266,https://www.airbnb.com/rooms/405790,Writers View - Royal Mile near Castle,https://a0.muscache.com/pictures/e3aafba0-9831-492b-88ed-e3210a38feee.jpg,"Spacious, fun view, bright and sunny.  Quiet, traffic free square visited frequently throughout the day by Edinburgh walking tours. World Heritage Old Town central location on Royal Mile. Close to Castle, station and shops. Street performances, bars and restaurants close by. Living room, kitchen/dining, double bedroom plus two singles room. Top floor, no lift, shared entrance behind Deacon Brodies, opposite Writers Museum .",True,230.0,Entire rental unit,Entire home/apt,4,3.0,2.0,1.0,1 bath,55.95006,-3.19234,"Old Town, Princes Street and Leith Street",140,4.58,4.64,4.66,4.69,4.83,4.84,4.61,True,True,True,True,True
408831,2035652,https://www.airbnb.com/rooms/408831,Sunny Room in house with beautiful views,https://a0.muscache.com/pictures/7129f989-9f5d-40e6-9328-c8f35039edcc.jpg,Lovely double room available in 4 bedroom detached modern house which is located in a quiet cul-de-sac.,False,91.0,Private room in home,Private room,2,1.0,1.0,1.0,1 private bath,55.90126,-3.22007,Comiston and Swanston,112,4.91,4.94,4.94,4.96,4.95,4.74,4.83,True,True,True,True,False
419487,2084557,https://www.airbnb.com/rooms/419487,Booklover's Bed With a View,https://a0.muscache.com/pictures/69909147/16c9a678_original.jpg,Within an ancient tenement on the cultural fault-line between the medieval Royal Mile and the 18th century New Town. With remarkable views over Princes Street you can't be more central.  A comfortable pied-a-terre at the heart of Scottish history.,False,191.0,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,1 bath,55.95044,-3.19512,"Old Town, Princes Street and Leith Street",289,4.75,4.83,4.76,4.78,4.88,4.97,4.67,True,False,True,True,True
449083,565761,https://www.airbnb.com/rooms/449083,Private Bedroom in Edinburgh,https://a0.muscache.com/pictures/miso/Hosting-449083/original/b4945a0b-1c74-4251-bb87-d3567d7727df.png,A private bedroom with shared bathroom in a quiet flat.,False,71.0,Private room in condo,Private room,2,1.0,1.0,1.0,1 shared bath,55.957,-3.16707,Abbeyhill,335,4.93,4.92,4.88,4.94,4.96,4.84,4.79,True,False,False,True,False
450745,2238338,https://www.airbnb.com/rooms/450745,"Flat, private parking, walking distance Royal Mile",https://a0.muscache.com/pictures/da89a596-7936-4019-b93a-4c8c7742c8ae.jpg,"Convenient for the University, the Royal Mile and Festival/Fringe venues.  Allocated off street parking is available if booked in advance. The Royal Mile is just a 15 minute walk away.  Princes Street is a 20-25 min walk for shopping and sightseeing or you can hop  on the bus.  The building is set back from the road overlooking Holyrood Distillery. Holyrood Park is 200m away with Arthur’s Seat and the Salisbury Crags  to enjoy. <br /><br />Great space for visitors to Edinburgh at any time of year!",True,216.0,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.94195920368399,-3.1789784590201173,Newington and Dalkeith Road,300,4.95,4.96,4.97,4.94,4.96,4.88,4.82,True,True,False,True,True
485856,2404912,https://www.airbnb.com/rooms/485856,Royal Mile Apt1- Historic Old Town Centre,https://a0.muscache.com/pictures/miso/Hosting-485856/original/88581045-9a06-4fac-8859-58caeb6c141e.jpeg,"Ideal for vacation or corporate stays. Close to all tourist sites & financial centre. Great transport including bus and tram service from airport to the nearby rail station.<br />Central, fully equipped, 1st floor, 2 bedroom, sleeps 5 - no lift.<br />Other 1 bed apt in the same building - reference 1830150 - Title: Royal Mile Apt4<br />Edinburgh Council License No. EH-70561-P",False,228.0,Entire rental unit,Entire home/apt,5,3.0,2.0,1.0,1 bath,55.95222,-3.1770599,"Canongate, Southside and Dumbiedykes",612,4.76,4.89,4.81,4.81,4.89,4.94,4.75,True,True,True,True,True
497140,2452990,https://www.airbnb.com/rooms/497140,"Lovely Quiet Apartment in Gorgie, near City Centre",https://a0.muscache.com/pictures/11304001/b07085e8_original.jpg,"Top floor (third floor) apartment, one (double) bedroom, non-smoking flat available. Nice kitchen/dining/living area, bathroom (with shower over bath). Fully furnished with sheets and towels supplied. Gas central heating, double glazed windows and maintained shared garden. The apartment is at the rear of the building so there is no main road noise. We are on Gorgie Road, very close to the old Gorgie City Farm. It's a 15 minute bus to the city centre or 30 minute walk.",False,79.0,Entire condo,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.93864,-3.23089,Gorgie East,77,4.75,4.73,4.8,4.92,4.97,4.34,4.66,True,False,True,True,True
500696,224444157,https://www.airbnb.com/rooms/500696,Castle view apartment in city centre | 1 bed,https://a0.muscache.com/pictures/hosting/Hosting-500696/original/5c714c3f-28d8-4d43-b8b8-a7e4ac005e8d.jpeg,"Our lovely apartment is on the top floor of a secure Art Deco apartment building in the city centre. It is spacious and homely and offers amazing views of Edinburgh Castle. <br /><br />There are good local amenities on your doorstep, perfect for city living!<br /><br />There is lift access to the apartment and we offer a personal check in.<br /><br />Licence No: EH-68981-F",False,112.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.94451,-3.2036,Tollcross,473,4.78,4.81,4.86,4.89,4.93,4.85,4.69,True,True,True,True,True
513895,2531629,https://www.airbnb.com/rooms/513895,5* Beautiful City Centre Apart close to Castle,https://a0.muscache.com/pictures/b81c72f8-b988-4245-886a-9becb357fbab.jpg,Beautiful  decorated basement flat with its own private entrance and patio in the very centre of Edinburgh on a quiet Georgian street tucked behind princes street. It is perfectly located to walk to most of the major attractions and literally a minutes walk from the tram and airport bus stop.,False,238.0,Entire rental unit,Entire home/apt,4,2.0,2.0,1.5,1.5 baths,55.95005,-3.21074,Deans Village,182,4.92,4.96,4.97,4.98,4.91,4.99,4.76,True,True,True,True,True
516445,1801836,https://www.airbnb.com/rooms/516445,The Park - Holyrood Road Apartment with parking,https://a0.muscache.com/pictures/8866248/84b48526_original.jpg,"This apartment is situated just off the Royal Mile and has views to the Salisbury Craggs.<br /><br />It also has a free car park space which can be seen from the apartment.<br /><br />Luxury Apartment Near the Scottish Parliament <br />With prime location adjacent to the Scottish Parliament and the Royal Palace of Holyrood, this apartment offers an exceptional base for exploring some of Edinburgh's finest attractions.",True,283.0,Entire condo,Entire home/apt,4,2.0,2.0,2.0,2 baths,55.95101,-3.17653,"Canongate, Southside and Dumbiedykes",240,4.76,4.9,4.83,4.82,4.91,4.93,4.71,True,True,True,True,True
520802,2562187,https://www.airbnb.com/rooms/520802,"Gorgeous Apartment with Stunning Views, Old Town",https://a0.muscache.com/pictures/6277283/5e8fe274_original.jpg,"Beautiful, sunny, contemporary and very stylish apartment located in the centre of Edinburgh with spectacular views over the Holyrood Park and Arthur's Seat. Only a few minutes away from the Royal Mile.",False,226.0,Entire condo,Entire home/apt,5,4.0,3.0,2.0,2 baths,55.95397,-3.16811,Abbeyhill,366,4.99,4.98,5.0,4.97,4.99,4.92,4.93,True,True,True,True,True
521385,2564448,https://www.airbnb.com/rooms/521385,Beautiful Grassmarket Apartment,https://a0.muscache.com/pictures/45a84e79-fb32-46cc-9f21-759755eeb4e6.jpg,"This stylish and contemporary, first floor apartment for two guests is located in a secure, quiet, 200 year old Close on the vibrant and historic Grassmarket, and is just a few steps from all of Edinburgh's major attractions and transport links.<br /><br />A lovely and spacious apartment sleeping two guests in the bedroom in a lovely King Size bed. Ideal for couples. The apartment is arranged on open plan so please note that the bedroom area is open to the living / dining area, separated by the wardrobe.",False,228.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.94694,-3.19443,"Old Town, Princes Street and Leith Street",363,4.96,4.97,4.99,4.96,4.97,4.96,4.83,True,True,True,True,True
530628,2605039,https://www.airbnb.com/rooms/530628,"Stylish Central, Five Bed TownHouse +fast wifi",https://a0.muscache.com/pictures/miso/Hosting-530628/original/086760bd-c87b-423a-b3fe-c5daf16eab06.jpeg,"Built in the 1860s, our soaring Victorian mansion is ideal for a relaxing stay being a very large, elegant and historic, three story town house (sleeps large groups)  in the very heart of Edinburgh, eliminating the need for taxis. Princes St, George St (the Moulin Rouge district of Northern Europe!) and Haymarket Railway station, all ten minutes on foot. With latest broadband upgrade super fast wifi too.",False,430.0,Entire vacation home,Entire home/apt,12,12.0,5.0,3.5,3.5 baths,55.94924,-3.21623,Deans Village,277,4.5,4.56,4.35,4.73,4.72,4.86,4.51,True,True,True,True,True
531292,2609833,https://www.airbnb.com/rooms/531292,EDINBURGH ROYAL MILE APARTMENT,https://a0.muscache.com/pictures/miso/Hosting-531292/original/e247fcb7-e275-4607-9d69-cae4a82e9577.jpeg,,False,127.0,Entire condo,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.95067,-3.18424,"Old Town, Princes Street and Leith Street",754,4.87,4.92,4.73,4.96,4.97,4.97,4.88,True,True,True,True,True
562350,2765595,https://www.airbnb.com/rooms/562350,Walter Scott Suite Luxury apt stunning Castle view,https://a0.muscache.com/pictures/10e994ab-ab3f-48b9-9dc4-73717f815bce.jpg,"The apartment block was one of the first flats to be built by James Craig in 1790. large lounge with a beautiful fireplace, large marble dining table for 6 people, well equipped luxury kitchen and large family bathroom with underfloor heating and separate bath and steam shower. The second bedroom is a single but also accommodate a separate ""trundle"" bed at a squeeze - suitable for young families or “cosy-couples”. The kitchen is fully equipped to a chef's standard, with a choice of three ovens.",False,254.0,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.95246,-3.20368,Deans Village,121,4.79,4.74,4.86,4.92,4.93,5.0,4.71,True,True,True,True,True
579038,2765595,https://www.airbnb.com/rooms/579038,"Overlooking Leith-Links home of golf, free parking",https://a0.muscache.com/pictures/07eb4411-2c70-4d6a-a8b7-91a70f7f51f0.jpg,"Our stunning main door Georgian pad overlooks Leith Links (the home of golf). The apartment has two bedrooms; one large master ( kingsize bed) and a second bedroom ( twin beds), a stunning open-plan lounge with Georgian fire place and mantle, with a remote controlled gas fire inset.<br /><br />There is a newly fitted, spacious bathroom with designer lighting, underfloor heating and a stunning large walk in shower cubicle with pull-down seat if required.",False,243.0,Entire rental unit,Entire home/apt,5,4.0,2.0,1.0,1 bath,55.97177,-3.16851,The Shore and Constitution Street,77,4.7,4.71,4.49,4.96,4.86,4.86,4.58,True,True,True,True,True
591360,2918371,https://www.airbnb.com/rooms/591360,FUNKY 3BR apartment in quiet central neighbourhood,https://a0.muscache.com/pictures/9238294/240a9c69_original.jpg,"Unique and family friendly three bedroom apartment, located on a quiet street, centrally located in Edinburgh's New Town.",False,148.0,Entire rental unit,Entire home/apt,4,4.0,3.0,1.5,1.5 baths,55.9589,-3.18714,New Town East and Gayfield,461,4.9,4.93,4.87,4.94,4.97,4.93,4.85,True,True,True,True,True
603443,2711564,https://www.airbnb.com/rooms/603443,"2 Bedroom 1 Bathroom Apartment, Royal Mile",https://a0.muscache.com/pictures/miso/Hosting-603443/original/40d2491e-8af6-4e63-9b4c-4a3833d01d3e.jpeg,"This 1st floor 2 Bedroom 1 Bathroom apartment  (sorry no lift) offers wonderful views of the rear of Royal Mile, which makes it super quiet! This apartment is wonderfully decorated and has one bedroom is a king size bed and the other bedroom is a twin room. You would never beloieve you are only a few seconds away from historic Royal Mile! After booking, we will send you key safe arrival instructions.",True,296.0,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.95029,-3.18979,"Old Town, Princes Street and Leith Street",94,4.78,4.8,4.7,4.89,4.95,4.99,4.63,True,False,False,True,True
603446,2711564,https://www.airbnb.com/rooms/603446,"2 Bedroom 1 Bath Apartment, Lawnmarket, Royal Mile",https://a0.muscache.com/pictures/7599590/08d9c31e_original.jpg,"The apartment is a great space for the Festival and also very close to shopping opportunities, bars, pubs, and public transport. The cozy atmosphere of the neighborhood and the apartment itself will make your stay an amazing experience.<br /><br />Located in the Lawnmarket area of Royal Mile, minutes away from the Castle!<br /><br />On the 1st floor, sorry no lift!",True,219.0,Entire rental unit,Entire home/apt,4,3.0,2.0,1.0,1 bath,55.95004653930664,-3.188728094100952,"Old Town, Princes Street and Leith Street",82,4.52,4.67,4.32,4.83,4.98,4.96,4.48,True,True,False,True,True
