id,host_id,listing_url,name,picture_url,description,instant_bookable,price,property_type,room_type,accommodates,beds,bedrooms,bathrooms,bathrooms_text,latitude,longitude,neighbourhood_cleansed,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_wifi,has_tv,has_washer,has_heating_system,has_kitchen
50005562,403291403,https://www.airbnb.com/rooms/50005562,Modern apartment overlooking Edinburgh Castle,https://a0.muscache.com/pictures/miso/Hosting-50005562/original/12990e64-a1fc-470e-92ef-b2076a84b9af.jpeg,"Situated on King’s Stables Road, this compact 1-bedroom apartment will be a great choice for a couple or group who want to discover Edinburgh. The Edinburgh Castle and Princes Street Gardens are within a few minutes walk away. You will also find a great variety of shops, bars and restaurants nearby and along the Grassmarket. The apartment has 1 bedroom, 1 bathroom, a living room and a kitchen. Essentials such as linen, towels, TV & WiFi are provided. Public garage available nearby (for a fee).",False,215.0,Entire condo,Entire home/apt,4,2.0,1.0,1.0,1 bath,55.94634,-3.20146,Tollcross,276,4.84,4.91,4.9,4.57,4.83,4.92,4.72,True,True,True,True,True
50062241,344268039,https://www.airbnb.com/rooms/50062241,"Modern & Spacious 1 Bed Apt, West End",https://a0.muscache.com/pictures/miso/Hosting-50062241/original/e93881c0-6a28-44c1-81b8-ba21ed70f05e.jpeg,"This refurbished one-bedroom, first-floor apartment has a modern, cozy vibe, creating a warm and inviting space.<br /><br />Located in the West End, just steps from Princes Street, it’s central and within walking distance of Edinburgh’s main attractions and landmarks.<br /><br />The apartment offers fast Wi-Fi, two Smart TVs, and includes complimentary toiletries, linen, and towels.<br /><br />It has one bedroom, one bathroom, and an open-plan living area with a fully equipped kitchen and sofa bed.",False,243.0,Entire condo,Entire home/apt,3,2.0,1.0,1.0,1 bath,55.95196,-3.20991,New Town West,165,4.86,4.92,4.82,4.95,4.94,4.94,4.7,True,True,True,True,True
50087208,90000468,https://www.airbnb.com/rooms/50087208,One Bedroom Apartment in Edinburgh City Centre,https://a0.muscache.com/pictures/dd6a50ba-98d6-409d-8a2a-db36f6eaecbf.jpg,"Stylish one bedroom apartment The apartment can accomodate up to 4 people by providing small double bed and comfy double sofa bed.<br /><br />My place is good for couples, travel companions, solo adventurers and business travellers.<br /><br />The apartment is located in heart of Edinburgh, 5 min walk from Edinburgh castle.",False,135.0,Entire rental unit,Entire home/apt,4,2.0,1.0,1.0,1 bath,55.94592,-3.20096,Tollcross,402,4.72,4.75,4.84,4.91,4.94,4.71,4.58,True,True,True,True,True
50168969,404888323,https://www.airbnb.com/rooms/50168969,FAMILY ROOM,https://a0.muscache.com/pictures/prohost-api/Hosting-50168969/original/429ec9b8-be19-4e45-95d5-b5e41120219e.jpeg,"In a quiet area, a 10-minute drive from the centre of Edinburgh and 5 minutes’ walk from Haymarket Rail Station, Dalry Guesthouse has free Wi-Fi and luggage storage.<br /><br />The bedrooms are colourful and inviting and each has heating and tea/coffee making facilities. Some rooms have an en suite bathroom.<br /><br />A continental breakfast is served every morning and there are various pubs, cafés and restaurants a 10-minute walk away.",True,113.0,Private room in bed and breakfast,Private room,3,0.0,1.0,1.0,1 private bath,55.94099,-3.22206,Dalry and Fountainbridge,3,4.67,4.67,4.67,5.0,5.0,4.67,4.67,True,False,False,True,False
50187265,404888323,https://www.airbnb.com/rooms/50187265,dalry guest house,https://a0.muscache.com/pictures/prohost-api/Hosting-50187265/original/a8d5b1c4-7262-47a6-9716-92f66d7ffed7.jpeg,"In a quiet area, a 10-minute drive from the centre of Edinburgh and 5 minutes’ walk from Haymarket Rail Station, Dalry Guesthouse has free Wi-Fi and luggage storage.<br /><br />The bedrooms are colourful and inviting and each has heating and tea/coffee making facilities. Some rooms have an en suite bathroom.A continental breakfast is served every morning and there are various pubs, cafés and restaurants a 10-minute walk away.",True,79.0,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,1 shared bath,55.94112,-3.22259,Dalry and Fountainbridge,28,4.25,4.39,4.11,4.82,4.68,4.54,4.14,True,False,False,False,False
50193041,40365616,https://www.airbnb.com/rooms/50193041,Entire flat to rent. Central. 10 min to Castle.,https://a0.muscache.com/pictures/miso/Hosting-50193041/original/55c4efe7-64f8-4238-b7ff-638c360c31d8.jpeg,"THIS FLAT IS ENTIRELY FOR YOUR USE. YOU WILL NOT SHARE ANY SPACE WITH ANYONE ELSE. FEEL FREE TO MESSAGE ME FOR INFO<br /><br /><br /><br />- Self check-in, arrive at any time<br />- perfect for couples, solo adventurers, business travellers and groups<br />- Great bus transport connections<br />- Unlimited fibre optic internet available<br />- Watch Netflix TV<br />- The flat is near Princes Street, Grassmarket, The Royal Mile, and Edinburgh Castle.<br />- Spacious rooms, great decor, well-equipped & great location!",True,75.0,Entire condo,Entire home/apt,4,3.0,2.0,1.0,1 bath,55.94204,-3.20548,Tollcross,329,4.64,4.66,4.64,4.83,4.9,4.82,4.53,True,True,True,True,True
50194478,154731024,https://www.airbnb.com/rooms/50194478,"Newly Styled, Central, 2 Bed - Main Door Apartment",https://a0.muscache.com/pictures/a9fca083-f136-4289-9845-11db269e35ef.jpg,"This central, main door apartment has been recently redecorated with a bright, laid back, contemporary feel. It is situated on a residential street in the heart of Tollcross, just a stones throw from the Kings Theatre, Lothian Road and the Meadows, with lots of great bars, restaurants and cafes close by. The high amenity area of Bruntsfield and Morningside is approximately 5 / 10 minutes walk away and the West End of Princes street is a about a 10 minute walk or a short bus ride.",False,135.0,Entire condo,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.94228,-3.20087,Meadows and Southside,274,4.93,4.97,4.89,4.97,4.99,4.94,4.85,True,True,True,True,True
50212950,25126429,https://www.airbnb.com/rooms/50212950,"Central, beautiful room and bathroom, garden flat",https://a0.muscache.com/pictures/9dc341cf-f570-4081-837d-b18627c4bf8d.jpg,"I look forward to having you stay in my beautiful garden flat, in the centre of Edinburgh <br /><br />The area is full of vibrancy and buzz. You are within walking distance of Princes Street, designer shopping, Carlton Hill, and Arthurs Seat, all doggie friendly. A stones throw from theatres, cinemas, restaurants and endless neighbourhood cafes. Live and love local :)<br /><br />You can arrive by plane, train, car or bus, all are easy to link from. Plenty of on-street parking and public transport is a breeze.",True,101.0,Private room in condo,Private room,2,1.0,1.0,1.0,1 private bath,55.9592,-3.1805,Hillside and Calton Hill,251,4.96,4.97,4.92,4.98,4.99,4.93,4.88,True,True,True,True,True
50235944,22597535,https://www.airbnb.com/rooms/50235944,Quartermile Luxury Landing Apartment,https://a0.muscache.com/pictures/90fb50fb-261d-490c-8908-e79ebb41c17d.jpg,"Quartermile Luxury Landing Apartment is a bright, very spacious and freshly decorated two-bedroom apartment that is set on the 3rd floor of a contemporary lift-served building.  <br /><br />Perfect for both couples and families, the apartment provides comfortable accommodation in a prime city centre location.<br /><br />The apartment benefits from an abundance of natural light throughout the day,  free unlimited and speedy Wi-Fi and an allocated parking space in the underground car park.<br /><br />*No parties*",False,373.0,Entire condo,Entire home/apt,5,4.0,2.0,2.0,2 baths,55.94442,-3.19596,Meadows and Southside,73,4.95,4.97,4.93,4.78,4.92,4.99,4.79,True,True,True,True,True
50237122,369962689,https://www.airbnb.com/rooms/50237122,Bright Local’s flat in trendy Leith,https://a0.muscache.com/pictures/06b1721f-a9e2-453b-8582-eb3ee42781c8.jpg,"Sunny ground floor flat offering great base to explore tourist's and local's Edinburgh alike.  Free Coffee/Tea. Easy access to city centre (1 short bus/short drive/beautiful walk along cycle path) as well as walking distance to The Shore where you will find good vibes, views and food. Psst...whilst being totally hip, cool and trendy in accommodation and location we're also baby friendly.",True,105.0,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1 bath,55.97297,-3.18395,Bonnington,360,4.79,4.84,4.79,4.93,4.93,4.65,4.68,True,True,True,True,True
50253151,20923270,https://www.airbnb.com/rooms/50253151,Shandwick Apartment @ The West End,https://a0.muscache.com/pictures/prohost-api/Hosting-50253151/original/09bbd4d1-3c82-4003-b842-97ede1f64055.jpeg,"***** THIS PROPERTY CAN ACCOMMODATE 2 ADULTS AND UP TO 2 UNDER 10s ON THE SOFA BED.  PLEASE ENQUIRE BEFORE BOOKING ***** <br /> <br />This modern, bright apartment is a stone's throw away from Princes Street and all of Edinburgh’s main sightseeing area as well as many fabulous shops, restaurants, cafes, theatres and conference centres. It is a one bedroom property, sleeping 2 adults and 2 children under 10 total.",True,186.0,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,1 bath,55.9491,-3.20895,Tollcross,20,4.75,4.85,4.65,4.6,4.75,5.0,4.4,True,True,True,True,True
50260171,201600360,https://www.airbnb.com/rooms/50260171,★ 1BR Spacious & Sunny Grassmarket Apartment ★,https://a0.muscache.com/pictures/95311818-3b77-4a08-bb5f-c5fbd0ca8c9a.jpg,"This spacious apartment enjoys an incredible location overlooking the Grassmarket - a must-see historic spot in the Old Town now lined with lively pubs, restaurants and shops - and just a 2-minute walk from the famous Royal Mile and Edinburgh Castle.<br /><br />The apartment is perfect for a couple or a solo traveller, comprising of one double bedroom,  bathroom with shower/bath,  spacious open plan living area with large windows and complete with fully-equipped kitchen and dining table.",True,233.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.94893,-3.19475,"Old Town, Princes Street and Leith Street",81,4.74,4.9,4.84,4.85,4.91,4.94,4.64,True,True,True,True,True
50261420,343077505,https://www.airbnb.com/rooms/50261420,Royal Mile 2bedroom apartment,https://a0.muscache.com/pictures/afdc58cc-f255-4c1e-929c-84993f07a6b3.jpg,"Beautifully finished luxury apartment, close to Edinburgh Castle and The Royal Palace. 2 bedrooms. <br /><br />The property has a feature bath in the master bedroom, shower bath room and 2 large bedrooms with storage for clothing. The kitchen has everything you will need including boiling water tap (replaces kettle).",False,363.0,Entire serviced apartment,Entire home/apt,4,3.0,2.0,1.0,1 bath,55.94962,-3.18766,"Old Town, Princes Street and Leith Street",81,4.73,4.84,4.78,4.77,4.83,4.95,4.68,True,True,True,True,True
50279281,402277088,https://www.airbnb.com/rooms/50279281,Studio Hart | Castle Rock | Grassmarket,https://a0.muscache.com/pictures/prohost-api/Hosting-50279281/original/bad9a172-6150-46cf-80d2-18d46415f9f6.jpeg,"This third floor newly renovated studio apartment presents arguably the best view in Edinburgh! Situated in front of the famous Castle Rock, Edinburgh Castle and a stone throw away from the heart of the Grassmarket, our guests can experience the charm of this bustling City as well as enjoy peace and comfort in our apartment. The apartment is located only an 8-minute walk from Edinburgh Castle and within walking distance of the Royal Mile, Princes Street, Haymarket, Waverley Station and many of the top tourist attractions in Edinburgh.<br /><br />There are numerous bars, restaurants, coffee shops and quirky stores on your doorstep to enjoy.",True,176.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.94596,-3.20035,Tollcross,218,4.74,4.83,4.7,4.75,4.86,4.94,4.64,True,True,True,True,True
50281597,405995127,https://www.airbnb.com/rooms/50281597,"Beautiful West End Apt. Private,own access.",https://a0.muscache.com/pictures/29ec59bd-f677-4b76-a3e8-3c5516555df9.jpg,"Beautiful Georgian apartment with own private entrance and seating terrace.<br /><br />Open plan lounge/dining, kitchen (including oven, hob and washing machine), comfortable double bedroom & spacious shower room. <br /><br />Set on a quiet residential road the apt is quiet at night despite its very central location.<br /><br />300yards from the famous Princes Street in Edinburgh and Edinburgh Castle and the Johnny Walker experience. George street, famous for restaurants and wine bars a 5mins stroll.",False,232.0,Entire condo,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.94982,-3.20972,Deans Village,145,4.94,4.93,4.99,4.94,4.97,4.97,4.84,True,True,True,True,True
50288618,257597146,https://www.airbnb.com/rooms/50288618,Lux 2 Bed Ground Floor Apartment,https://a0.muscache.com/pictures/hosting/Hosting-50288618/original/2dbff944-861f-4891-9364-02930f78f468.jpeg,"This newly renovated open plan 2 bed ground floor apartment has been recently refurbished to a high standard. Located in the south of the city of Edinburgh and only 15 minutes drive to the city centre. The apartment is located within well managed private grounds and next door to Liberton Golf Course.<br />It is the perfect accommodation for solo travellers, golfers, family of 4 or couples looking to explore Edinburgh.",True,280.0,Entire condo,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.91808,-3.15066,Craigmillar,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True,True,True
50302346,40013762,https://www.airbnb.com/rooms/50302346,Beautiful 1 bedroom flat in Fountainpark,https://a0.muscache.com/pictures/16817782-908a-41d2-8220-0c6d2bbceb69.jpg,"We are proud to offer this delightful 2nd floor 1 bedroom, 1 bathroom flat in a great location. The flat has been refurbished in June 2021 and has been beautifully decorated throughout. It will provide a stylish and comfortable base for you in Edinburgh.<br /><br />It is close to the city centre with easy access the Edinburgh Conference Centre and  Edinburgh financial district. It is also conveniently located close to lovely parks, the Union canal and popular going out and shopping areas in Edinburgh.",False,151.0,Entire condo,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.939545,-3.220072,Polwarth,71,4.85,4.92,4.93,4.93,4.9,4.8,4.59,True,True,True,True,True
50327569,253850,https://www.airbnb.com/rooms/50327569,"Luxury, City Centre, Wide-Beam Boat, ‘Camillia’",https://a0.muscache.com/pictures/d8a91846-fc13-46c3-8974-765d4dc628d9.jpg,"Luxury floating, accommodation on board a purpose built, wide beam, canal barge. Moored in Edinburgh city centre, 7 minutes walk to Edinburgh Castle and can sleep up to 8 adults in 2 double cabins, an adult bunk bed room and a double sofa bed in the lounge. This is the perfect unique choice of accommodation to make your stay in Edinburgh extra memorable.",True,617.0,Boat,Entire home/apt,8,5.0,3.0,1.0,1 bath,55.94177,-3.2092,Tollcross,17,4.71,4.71,4.88,4.76,4.59,4.65,4.59,True,True,True,True,True
50337350,230942864,https://www.airbnb.com/rooms/50337350,Entire Central Edin. 3 bedroom Flat- Free Parking,https://a0.muscache.com/pictures/a3bb2663-437f-4fe0-828d-b89f53b15955.jpg,"Rated highly by our guests<br /><br />Guests have the sole use of this 3 bedroom bright & spacious apartment, (sleeps 6) in a quiet location in central Edinburgh<br /><br />Easy walk to the City Centre, Stockbridge & the Festivities.<br />Free parking is available<br /><br />3 bedrooms : King, double, single & and guest bed<br />Living room & dining area (6 chairs)<br />Fully equipped modern kitchen with table<br />2 bathrooms with baths & electric showers<br />Patio doors & balcony<br />Fast  broadband<br /><br />Most suitable for families although all welcome.",False,392.0,Entire condo,Entire home/apt,6,4.0,3.0,2.0,2 baths,55.95618,-3.22643,"Craigleith, Orchard Brae and Crewe Toll",201,4.97,4.98,4.95,4.93,5.0,4.85,4.85,True,True,True,True,True
50342805,406029576,https://www.airbnb.com/rooms/50342805,Superbly Located Mews Home Close to Princes Street,https://a0.muscache.com/pictures/miso/Hosting-50342805/original/2b4952d2-7da8-43a5-be23-4b8f3b5ab995.jpeg,"Welcome to my peaceful home located in the heart of Edinburgh's city centre, where the splendour of New Town merges with the beautiful cobbled streets of my historical Mews flat.<br /><br />Enjoy the convenience of having  Charlotte Square, St Mary's Cathedral and both George and Princes Street right on your doorstep along with fabulous eateries close by,  including the Johnnie Walker Experience. My cosy home has everything you need to enjoy a perfect city break while staying in a quiet and cosy location.",False,169.0,Entire condo,Entire home/apt,2,1.0,1.0,1.0,1 bath,55.95319,-3.20895,New Town West,134,4.89,4.91,4.92,4.99,4.96,4.98,4.74,True,True,True,True,True
50378722,188321218,https://www.airbnb.com/rooms/50378722,Bide Collective15,https://a0.muscache.com/pictures/2f837ed7-0b07-4c86-b5a4-13190f1e95b1.jpg,"Our accommodation offers Self Check in/check out serviced Rooms in a central location,we are located in the heart of Edinburgh's City Centre. Our self check in serviced rooms are set over three floors within a 1890's period Georgian Townhouse. This room is on our second floor so naturally stairs to climb. We are situated in ""Hill Street"" along the historic cobbled street in the New town of the city.<br /><br />This is a double room with a uk standard size bed, private en suite (no bath use)just shower,",False,89.0,Private room in guesthouse,Private room,2,1.0,1.0,1.0,1 private bath,55.95416,-3.20305,New Town West,286,4.78,4.88,4.93,4.96,4.94,4.95,4.67,True,True,False,True,False
50385181,87762710,https://www.airbnb.com/rooms/50385181,Lothian Road - perfect city centre location.,https://a0.muscache.com/pictures/1ee03df9-6861-4e50-a3f5-62ef562530aa.jpg,"Our property is ideally situated right on the tram line offering hassle-free access to Murrayfield Stadium. Whether you're attending a rugby match, concert, or event, you can hop on the tram at West End stop and arrive at Murrayfield in just 30 minutes. Say goodbye to parking headaches and enjoy the convenience of a smooth and direct journey to the heart of the action. <br /> <br />This beautifully decorated and appointed 2nd floor apartment is spacious and wonderfully located to take in the sights and so",True,308.0,Entire rental unit,Entire home/apt,5,3.0,3.0,1.0,1 bath,55.946854,-3.205522,Tollcross,172,4.72,4.81,4.83,4.9,4.91,4.92,4.67,True,True,True,True,True
50392210,22597535,https://www.airbnb.com/rooms/50392210,Stockbridge Apartment,https://a0.muscache.com/pictures/miso/Hosting-50392210/original/20a41591-1d60-4cd9-9864-f2f20dc34264.jpeg,"Stay in this lovely and very cosy self-catering apartment located in one of the most picturesque areas of Edinburgh. The property is a great choice for travellers interested in riverside walks (Water of Leith flowing alongside Stockbridge and Dean Village just a 15-minute walk away along the riverside), crafts & antique shops and tea houses. The apartment is excellently located to explore the city. We hope you will have a wonderfully memorable time!",False,264.0,Entire condo,Entire home/apt,4,3.0,2.0,1.0,1 bath,55.95925,-3.21053,Stockbridge,47,4.74,4.68,4.7,4.94,4.91,4.94,4.47,True,True,True,True,True
50399681,168219206,https://www.airbnb.com/rooms/50399681,Beautiful 2 bed apart. Full of character & colour,https://a0.muscache.com/pictures/miso/Hosting-50399681/original/3293e38e-4a29-49dc-9892-591089924141.jpeg,"An absolutely gorgeous quirky apartment, full of character and colour.  High ceilings with beautiful cornices and ceiling roses. Large windows that flood with light. A well stocked spacious kitchen with everything you need for cooking, amazingly comfy beds, this apartment has everything to ensure your stay is the best ever. Set in a quiet street in one of Edinburgh's most incredible neighbourhoods, Bruntsfield, the apartment is minutes away from independent shops, artisan cafes and bus stops.",True,205.0,Entire condo,Entire home/apt,4,2.0,2.0,1.0,1 bath,55.93719,-3.20952,Bruntsfield,197,4.92,4.94,4.94,4.85,4.88,4.94,4.78,True,True,True,True,True
